path	bytes	lines	extension	test_code
docs/cache_management.md	23081	293	.md	0
docs/ci_cd.md	88107	1584	.md	0
docs/cli.md	21997	346	.md	0
docs/client_ip_resolution.md	13319	245	.md	0
docs/configuration.md	183441	1115	.md	0
docs/connection_pooling.md	20066	269	.md	0
docs/connection_saturation_benchmark.md	6259	128	.md	0
docs/cors_plugin.md	20737	429	.md	0
docs/coverage.md	11351	221	.md	0
docs/cp_dp_mode.md	31537	346	.md	0
docs/cp_namespace_tenancy.md	11181	196	.md	0
docs/database_tls.md	24470	520	.md	0
docs/dependency-policy.md	21417	343	.md	0
docs/dns_resolver.md	18411	268	.md	0
docs/docker.md	18584	615	.md	0
docs/error_classification.md	17201	204	.md	0
docs/frontend_tls.md	35151	737	.md	0
docs/functional_testing.md	12306	362	.md	0
docs/functional_testing_auth_acl.md	11444	239	.md	0
docs/functional_testing_database.md	13177	437	.md	0
docs/functional_testing_file_mode.md	11754	391	.md	0
docs/functional_testing_load_stress.md	24544	474	.md	0
docs/gateway_api_conformance.md	15820	206	.md	0
docs/graceful_shutdown.md	2693	59	.md	0
docs/http3.md	59448	495	.md	0
docs/infrastructure_sizing.md	22598	381	.md	0
docs/k8s_cert_manager.md	2052	59	.md	0
docs/kubernetes_deployment.md	36319	919	.md	0
docs/load_balancing.md	46819	1006	.md	0
docs/log_schema.md	24673	488	.md	0
docs/mesh.md	495702	2958	.md	0
docs/mesh_multicluster_federation_runbook.md	8339	148	.md	0
docs/mesh_supported_matrix.md	13194	177	.md	0
docs/migrations.md	27679	607	.md	0
docs/mongodb.md	26230	431	.md	0
docs/multi_region_ha.md	15410	327	.md	0
docs/node_agent.md	44886	526	.md	0
docs/node_agent_security.md	30038	580	.md	0
docs/notifications.md	8511	170	.md	0
docs/oidc_relying_party.md	7029	74	.md	0
docs/openapi_validator.md	19558	219	.md	0
docs/overload_manager.md	9892	191	.md	0
docs/pkcs11_tls.md	5119	83	.md	0
docs/plans/mesh_multicluster_lifecycle_adr.md	3954	82	.md	0
docs/plans/node_waypoint_transport_adr.md	14107	278	.md	0
docs/plans/test_framework_scripted_backends.md	26100	435	.md	0
docs/plugin_execution_order.md	114902	1077	.md	0
docs/plugins.md	605034	5474	.md	0
docs/plugins/ai_tool_governor.md	24212	408	.md	0
docs/plugins/api_chargeback_sink.md	27537	520	.md	0
docs/proxy_alerts.md	18765	259	.md	0
docs/response_body_streaming.md	34815	481	.md	0
docs/retry.md	12796	313	.md	0
docs/routing.md	13675	262	.md	0
docs/size_limits.md	22173	294	.md	0
docs/spire_deployment.md	33053	685	.md	0
docs/tcp_udp_proxy.md	40674	568	.md	0
docs/upgrade_guide.md	24250	535	.md	0
docs/upstream-h3-patches/001-recv-frame-drain-on-quic-close/README.md	9935	128	.md	0
docs/upstream-h3-patches/001-recv-frame-drain-on-quic-close/issue.md	5290	67	.md	0
docs/upstream-h3-patches/001-recv-frame-drain-on-quic-close/pr-description.md	4764	105	.md	0
docs/upstream-h3-patches/002-extended-connect-websocket-protocol/README.md	5959	120	.md	0
docs/upstream-h3-patches/002-extended-connect-websocket-protocol/issue.md	2571	78	.md	0
docs/upstream-h3-patches/002-extended-connect-websocket-protocol/pr-description.md	2132	61	.md	0
docs/upstream-h3-patches/003-peek-buffered-trailers-before-fin/README.md	2903	58	.md	0
docs/upstream-h3-patches/003-peek-buffered-trailers-before-fin/issue.md	1467	44	.md	0
docs/upstream-h3-patches/003-peek-buffered-trailers-before-fin/pr-description.md	740	21	.md	0
docs/upstream-h3-patches/README.md	2505	32	.md	0
docs/upstream-reqwest-patches/001-per-request-connect-timeout/README.md	5954	121	.md	0
docs/upstream-tungstenite-patches/README.md	5363	100	.md	0
docs/waf.md	27143	504	.md	0
ebpf/Cargo.toml	204	13	.toml	0
ebpf/ferrum-ebpf-common/Cargo.toml	572	16	.toml	0
ebpf/ferrum-ebpf-common/src/lib.rs	34415	893	.rs	0
ebpf/ferrum-ebpf/Cargo.toml	302	14	.toml	0
ebpf/ferrum-ebpf/src/connect4.rs	6886	170	.rs	0
ebpf/ferrum-ebpf/src/connect6.rs	6987	183	.rs	0
ebpf/ferrum-ebpf/src/getpeername4.rs	1427	38	.rs	0
ebpf/ferrum-ebpf/src/getpeername6.rs	1448	39	.rs	0
ebpf/ferrum-ebpf/src/main.rs	1266	32	.rs	0
ebpf/ferrum-ebpf/src/maps.rs	7710	163	.rs	0
ebpf/ferrum-ebpf/src/sock_ops.rs	27883	627	.rs	0
ebpf/ferrum-ebpf/src/sock_ops_emit.rs	2127	55	.rs	0
ebpf/ferrum-ebpf/src/tc_inbound.rs	12670	334	.rs	0
ebpf/rust-toolchain.toml	58	3	.toml	0
ferrum.conf	134064	2506	.conf	0
migrations/clickhouse/0001_charges.sql	2865	71	.sql	0
openapi.yaml	980213	22614	.yaml	0
proto/envoy/service/discovery/v3/discovery.proto	3090	119	.proto	0
proto/envoy/service/runtime/v3/rtds.proto	1636	53	.proto	0
